-51.6027 -9.10533 1.49775  1 157
-44.8729 -16.5037 18.3553  1 158
-55.0083 -24.3898 25.5612  1 159
-61.1692 -2.27787 21.7932  1 160
-51.6829 -12.7279 12.7112  1 161
-46.5498 -7.36802 8.15446  1 162
-62.4552 -30.2682 5.86357  1 163
-55.8165 -20.9042 24.4364  1 164
-61.0202 -3.81771 27.2817  1 165
-54.3717 -12.5361 7.45012  1 166
-59.4125 -14.5924 11.9924  1 167
-66.8542 -12.0812 23.3253  1 168
-67.3908 -4.15324 10.876  1 169
-74.8478 -2.24902 27.8492  1 170
-61.3362 -8.96793 29.7938  1 171
-68.3865 -4.79353 25.1256  1 172
-77.1957 -9.90516 24.8797  1 173
-72.3192 -6.70487 2.91856  1 174
-85.5327 6.52887 3.82578  1 175
-87.4401 -17.7723 15.5151  1 176
-101.389 -5.73978 14.4492  1 177
-61.6125 -10.0952 5.06778  1 178
-65.0146 -18.8059 13.0017  1 179
-64.0104 -4.87073 13.5076  1 180
-76.3049 -24.5257 2.67305  1 181
-61.494 -16.744 19.2963  1 182
-93.9977 -8.77207 8.96473  1 183
-74.5797 -11.9372 21.4103  1 184
-75.5205 8.739 11.7778  1 185
-77.4065 3.68896 22.9653  1 186
-63.0126 -5.43122 8.92769  1 187
-53.0405 -12.1976 14.4242  1 188
-62.8157 -7.08377 12.7563  1 189
-68.8321 -15.7704 2.05576  1 190
-70.1559 -4.98173 26.6874  1 191
-66.715 -0.701636 15.5644  1 192
-90.5549 -5.57489 17.6021  1 193
-70.4974 -10.2198 18.7954  1 194
-72.2714 -14.1489 18.3593  1 195
-75.3114 1.66028 7.33031  1 196
-69.1727 -19.8454 6.64229  1 197
-91.4971 2.48626 5.59459  1 198
-77.9248 3.50955 30.5271  1 199
-75.4198 -5.09849 3.67077  1 200
-82.6194 8.21789 8.20794  1 201
-72.8691 -9.37087 9.15872  1 202
-69.5117 -11.4692 10.4679  1 203
-76.6653 -5.81977 5.50713  1 204
-92.3814 1.19552 9.0974  1 205
-73.071 -21.8823 7.71104  1 206
-67.1011 -17.2218 15.9027  1 207
-75.9738 -0.74756 8.04352  1 208
-88.3746 5.56114 1.65643  1 209
-107.925 -11.6311 0.126576  1 210
-103.202 -10.86 25.6728  1 211
-101.736 -1.67787 32.9582  1 212
-101.188 -24.7744 33.6242  1 213
-80.286 -6.68198 21.6713  1 214
-76.226 -4.38632 13.7888  1 215
-87.8787 8.62864 25.2058  1 216
-91.2601 -16.991 17.5597  1 217
-123.574 -21.9729 -11.8812  1 218
-95.9896 -29.3255 8.02139  1 219
-79.3566 -3.22457 13.2773  1 220
-93.0138 -21.6785 4.65334  1 221
-86.5778 -1.17505 17.4913  1 222
-80.9671 1.98014 26.6029  1 223
-75.5955 -11.3254 18.6036  1 224
-84.0534 -24.242 8.82055  1 225
-89.6565 -6.13827 0.97461  1 226
-94.31 -24.6776 29.0876  1 227
-102.11 1.899 16.4897  1 228
-102.314 15.3153 23.6731  1 229
-104.526 -20.8865 23.0489  1 230
-95.6379 -19.7234 14.5056  1 231
-119.114 -21.4626 0.558319  1 232
-81.4371 -4.69534 15.02  1 233
-116.049 -10.5395 -7.79619  1 234
-107.314 -16.6616 -8.10546  1 235
-127.255 -34.1302 21.6937  1 236
-106.169 3.95337 25.5306  1 237
-94.011 -9.04558 9.62442  1 238
-99.8062 4.2125 13.941  1 239
-133.175 12.6966 31.9824  1 240
-143.705 -20.7142 -6.00391  1 241
-114.257 -24.817 16.5883  1 242
-98.5517 -10.3113 23.3901  1 243
-103.011 -17.5477 -6.54334  1 244
-90.1287 -2.93891 17.7375  1 245
-127.211 5.4748 30.9137  1 246
-107.603 -5.30714 1.17149  1 247
-141.373 -12.1308 -3.34245  1 248
-116.597 6.0507 24.8468  1 249
-126.366 11.3723 28.9583  1 250
-97.6492 -4.08461 26.9219  1 251
-124.901 -26.4943 1.07703  1 252
-119.625 -8.09019 7.49992  1 253
-135.387 -21.7491 11.7191  1 254
-145.653 -15.6389 18.7236  1 255
-120.884 -7.51401 12.6361  1 256
-123.018 -20.1665 21.1867  1 257
-152.116 -13.3313 24.8921  1 258
-97.5901 -19.4619 13.7111  1 259
-136.404 -6.44496 8.57067  1 260
-93.6116 -13.96 13.1178  1 261
-108.058 -14.0433 -2.01436  1 262
-119.522 1.89978 12.7812  1 263
-128.555 0.670007 12.7534  1 264
-116.771 -19.019 17.8958  1 265
-143.505 -22.2654 8.92495  1 266
-133.615 -3.76324 -3.70013  1 267
-114.912 -18.4961 16.3037  1 268
-142.56 11.0321 34.7624  1 269
-136.28 -22.7571 11.8035  1 270
-152.975 10.3566 -6.48161  1 271
-143.925 -2.62412 20.0341  1 272
-127.674 -24.3451 23.3472  1 273
-130.045 9.29022 11.6611  1 274
-159.547 0.129919 14.7364  1 275
-133.517 -20.3275 6.17259  1 276
